start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,4.702665268085543e-05,0.9989540504868184,0.5133693214285033,31,0.01649803200007227,True,True,0.0064234833522606
2,5.1070246366231524e-05,0.9989823212356616,0.5210678725927366,49,0.022425586000053954,True,True,0.007264578610575603
3,5.1070246366231524e-05,0.9989823212329269,0.521067871455806,39,0.016816292000157773,True,True,0.007264578495228345
4,5.107024636623153e-05,0.9989823212371306,0.5210678732110302,54,0.022714285999882122,True,True,0.007264578672210448
5,9.032165867203618e-05,0.9987856022144581,0.49058395465919313,43,0.017412867000302867,True,True,0.006294600201931955
6,5.1070246366231524e-05,0.9989823212387239,0.5210678738675935,54,0.01869926800009125,True,True,0.007264578739659473
7,9.84652263883695e-05,0.9990234157566181,0.582507173910011,48,0.021862649000013334,True,True,0.012995134485025223
8,5.107024636623149e-05,0.9989823212368734,0.5210678731136522,68,0.02710762300011993,True,True,0.007264578660944848
9,9.032165867203623e-05,0.9987856022211026,0.4905839552177132,31,0.015025545999833412,True,True,0.006294600210225584
10,0.00010327215319958415,0.9990234313631855,0.5866859961986726,75,0.032134778999989067,True,True,0.013326046529542009
11,5.107024636623147e-05,0.9989823212342525,0.5210678720013155,50,0.02373409499978152,True,True,0.00726457855138091
12,9.846522638836945e-05,0.9990234157566179,0.5825071737792641,60,0.029094407999991745,True,True,0.012995134497895966
13,5.1070246366231476e-05,0.9989823212358857,0.5210678726780111,32,0.017515554000056,True,True,0.007264578620374289
14,9.846522638836952e-05,0.9990234157566177,0.5825071736770794,50,0.025624950000064928,True,True,0.012995134508068168
15,5.1070246366231503e-05,0.9989823212348808,0.5210678722780119,45,0.023274748999710937,True,True,0.0072645785772161246
16,9.846522638836945e-05,0.9990234157566179,0.5825071737797676,52,0.023535296999853017,True,True,0.012995134497843152
17,9.032165867203645e-05,0.9987856022218681,0.4905839552895505,54,0.02094979200023772,True,True,0.006294600208100826
18,4.70266526808554e-05,0.9989540504868178,0.5133693214291198,37,0.01644863600017743,True,True,0.006423483352236338
19,9.846522638836949e-05,0.9990234157566178,0.5825071737477885,49,0.02197249499999998,True,True,0.012995134500987847
20,0.00010327215319958276,0.9990234313631853,0.586685995858077,61,0.021736545000067053,True,True,0.013326046577920646
