start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,2.786293669314921e-14,4.865500224937591e-10,1.7878284676812832e-10,6000,1.6971749919998729,True,False,1.1872068289564552e-07
2,5.018493688939791e-15,2.0703216918604994e-10,7.215311671582157e-11,4378,1.2514932809999664,True,True,5.938751346246107e-08
3,9.875251491244095e-14,1.0526343130479177e-09,3.631249458328011e-10,6000,2.403777251000065,True,False,1.776115752250007e-07
4,2.0305259889307552e-16,5.151212789655801e-11,1.7491767741651518e-11,6000,1.6608197759999257,True,False,9.487094942972618e-09
5,2.0033672813563472e-13,1.909677638245455e-09,5.891269041545329e-10,3328,1.0567646609999883,True,True,3.578548702365403e-07
6,6.37475405133404e-14,9.00737262554685e-10,3.096023600108601e-10,6000,1.6155327240001043,True,False,1.5572779982209184e-07
7,5.546997359490469e-14,5.585483187076079e-10,2.37936244134504e-10,6000,1.7751889720000236,True,False,1.457039816576966e-07
8,8.012998620369075e-18,5.047628981458274e-12,2.2608543581755677e-12,6000,1.8081475260000843,True,False,1.3098506168596202e-09
9,1.832031680368369e-13,1.1140497413464345e-09,4.430759233474472e-10,6000,1.8228669420000188,True,False,2.797506299390129e-07
10,3.21384864950155e-14,5.222259291670639e-10,1.9387258491064646e-10,6000,1.5677806250000685,True,False,1.2566036616812326e-07
11,1.2960808115727493e-13,8.701318554571458e-10,3.6615180039976127e-10,6000,2.111929752999913,True,False,2.254130923029507e-07
12,6.007074919651222e-14,5.831021221425203e-10,2.4928054508809266e-10,6000,1.8779519050001454,True,False,1.528765894986961e-07
13,4.5214817728167836e-13,1.7469944380010816e-09,7.265662502103567e-10,4377,1.6648846230000345,True,True,3.4320731590042897e-07
14,1.154396421651524e-13,7.959713999028395e-10,3.3979730764148413e-10,6000,2.0918069019999166,True,False,1.8646164939850607e-07
15,3.5538761553636595e-14,5.372950973026036e-10,2.0279259443062169e-10,6000,1.6212254140000368,True,False,1.3115570862698434e-07
