method,median_max_error,best_max_error,success_rate,admissible_rate,converged_rate,median_nfev,median_wall_s
trf,8.049116928532385e-15,3.3306690738754696e-16,0.85,1.0,1.0,347.5,0.08877481450008418
dogbox,0.999021886544563,1.354472090042691e-14,0.15,1.0,0.2,5000.0,1.2739995759999374
lm,2.7755575615628914e-15,2.220446049250313e-16,0.8,0.8,1.0,322.5,0.029802546500036442
lbfgsb,0.28558812430245034,2.0386400048089115e-06,0.0,1.0,0.95,471.0,0.08481355750006969
