t,right_dense,exact,ts_rbfnn,abs_error
0.0,True,1.0,1.0,0.0
0.1,True,0.9656054162575665,0.9656055845762488,1.683186823253635e-07
0.2,True,0.9323938199059482,0.93239401353932,1.9363337189215457e-07
0.30000000000000004,True,0.9003245225862655,0.9003245652396006,4.265333508612912e-08
0.4,True,0.8693582353988057,0.8693582452104891,9.811683354676859e-09
0.5,True,0.8394570207692073,0.8394571454396846,1.246704773860685e-07
0.6000000000000001,True,0.810584245970187,0.8105844204854029,1.7451521594491481e-07
0.7000000000000001,True,0.782704538241868,0.7827046075684592,6.932659113445538e-08
0.8,True,0.7557837414557254,0.7557837797798499,3.832412454052303e-08
0.9,True,0.7297888742690567,0.7297890455437088,1.712746521276287e-07
1.0,False,0.7046880897187133,0.7046871527429914,9.369757218991026e-07
2.0,True,0.4580472583171637,0.45804665092330765,6.073938560446912e-07
2.1,True,0.44229291353298195,0.4422921649742534,7.485587285582795e-07
2.2,True,0.42708043287978686,0.42707982302277114,6.09857015720916e-07
2.3,True,0.4123911791663483,0.41239070639998665,4.727663616699296e-07
2.4,True,0.39820715621987046,0.3982065508060373,6.054138331768044e-07
2.5,True,0.3845109868384298,0.38451021675042796,7.700880018668421e-07
2.6,True,0.3712858915017297,0.37128523686668014,6.546350495573172e-07
2.7,True,0.35851566781408933,0.3585152922351682,3.7557892113015967e-07
2.8,True,0.3461846706544832,0.34618424491281985,4.2574166336795116e-07
2.9,True,0.3342777930093108,0.3342770794114841,7.135978267180931e-07
3.0,False,0.3227804474644162,0.322781851540185,1.4040757688182914e-06
4.0,True,0.20980729085187053,0.20980820324507476,9.123932042387484e-07
4.1,True,0.2025910564168928,0.20259171976250634,6.633456135496374e-07
4.2,True,0.19562302136149387,0.19562356203997522,5.406784813477561e-07
4.3,True,0.18889464897132813,0.18889530032854518,6.513572170518955e-07
4.4,True,0.18239769614878618,0.18239840691297782,7.107641916415108e-07
4.5,True,0.17612420331416984,0.1761248408921574,6.375779875722465e-07
4.6,True,0.17006648465421126,0.17006703927394262,5.546197313632817e-07
4.7,True,0.16421711870599068,0.1642176765120439,5.578060532085427e-07
4.8,True,0.15856893926471635,0.15856950355341726,5.642887009049691e-07
4.9,True,0.15311502660422718,0.15311552169123666,4.95087009472206e-07
5.0,False,0.14784869899946318,0.1478496878318083,9.88832345116819e-07
