N,mu_star,sup_error,bound,ratio
10,0.10000000000000009,0.04655732707140503,0.3111111111111113,
20,0.050000000000000044,0.02297369113077985,0.1526315789473685,2.0265497088114035
40,0.025000000000000022,0.011419389238903177,0.07564102564102569,2.0118143492748177
80,0.012500000000000067,0.00569388266782811,0.0376582278481014,2.005554013858705
160,0.006250000000000089,0.0028431171556860813,0.018789308176100805,2.002690130598611
320,0.0031250000000000444,0.0014206184707954428,0.009384796238244604,2.0013235179844893
640,0.0015625000000000222,0.0007100761907598008,0.004689945226917102,2.0006563933306123
1280,0.0007812500000000666,0.0003549800813616999,0.0023443608287726115,2.000326857878774
