best_max_error,median_max_error,q1,q3,success_rate,median_nfev,median_wall_s,m,residual_equations
9.045242332916814e-11,2.3423363249008844e-10,1.1020906409697773e-10,1.830305335071003e-08,0.2,6000.0,1.5423942610000267,4,23
3.034372753063508e-11,9.705469761200902e-11,7.857020589696617e-11,1.6162710059219876e-10,0.5333333333333333,6000.0,1.6300282560000596,6,23
5.047628981458274e-12,5.831021221425203e-10,5.043879758304115e-10,9.766857878013013e-10,0.13333333333333333,6000.0,1.6971749919998729,8,23
9.959799651682033e-11,6.85627543628442e-09,3.470953635620333e-09,1.345754380155384e-08,0.06666666666666667,5033.0,1.776944899,10,23
1.5056955682268836e-10,1.1925220144703985e-08,6.200584046212043e-09,3.4883795241302806e-08,0.0,5205.0,2.1843502470001113,12,23
