best_max_error,median_max_error,q1,q3,success_rate,median_nfev,median_wall_s,strategy,centres,alpha_max_min
5.551115123125783e-16,1.2212453270876722e-15,8.326672684688674e-16,3.1530333899354446e-14,0.9,170.5,0.1220330119999744,early geometric,1;2;4;8;16,0.015625
0.381006293796297,0.4683490685888664,0.3810299686027817,1.5126622783254222,0.0,389.5,0.12264033199994628,index quantiles,1;4;32;256;1024,3.814697265625e-06
0.18711323989786588,0.25973603901807685,0.25973603844159704,0.2597360392009553,0.0,61.5,0.030165235500135168,intermediate,1;2;8;64;1024,3.814697265625e-06
1.1700181848816078,2.1135354931133277,1.1871246474844797,2.619935517326562,0.0,446.0,0.1316743330000918,late geometric,64;128;256;512;1024,3.814697265625e-06
