best_max_error,median_max_error,q1,q3,success_rate,median_nfev,median_wall_s,m,basis,residual_equations,finite
0.01902066669026764,0.022146827914085898,0.019025453861871655,0.02560634108910117,0.0,57.0,0.03713974350000626,3,time-scale Gaussian,32,1.0
0.02809532115446381,0.032822832454321604,0.03225955426827959,0.03315591616104055,0.0,56.0,0.024869345000070098,3,classical Gaussian,32,1.0
0.004016013844890753,0.020024094307883766,0.004016441404216309,0.020024284119486507,0.0,50.5,0.04511312149998048,4,time-scale Gaussian,32,1.0
0.023217238879953028,0.02964233342525069,0.027879137548033006,0.03126130066209101,0.0,56.0,0.029564661000108572,4,classical Gaussian,32,1.0
0.0026733855813469987,0.004472206430813641,0.003682119536718695,0.005635484943797009,0.0,90.0,0.1291625499999327,6,time-scale Gaussian,32,1.0
0.009226625413958495,0.014509223103869526,0.012809446727978596,0.016483878874696656,0.0,131.5,0.0986630975000935,6,classical Gaussian,32,1.0
0.00019235890056742977,0.0008667718392957879,0.0006024067949593898,0.0016329536287501,0.0,139.0,0.29932870549998825,8,time-scale Gaussian,32,1.0
0.004955360685698601,0.008861200318932255,0.008082969338021023,0.01116312020930002,0.0,227.0,0.21166861899996547,8,classical Gaussian,32,1.0
1.4040757688182914e-06,2.8851486673531213e-05,7.62255781072696e-06,6.453136713113761e-05,0.0,741.0,2.788706707499955,10,time-scale Gaussian,32,1.0
0.0002798275188855559,0.005161977163783915,0.0029496297384796893,0.006910054488527724,0.0,224.0,0.2682056379999267,10,classical Gaussian,32,1.0
5.709873604575755e-05,9.778525159198637e-05,7.354750820343092e-05,0.00011075853936365343,0.0,728.0,3.822639985500018,12,time-scale Gaussian,32,1.0
0.00017374619106469424,0.0013266548139659884,0.0008229134237842106,0.0024336184332820338,0.0,477.0,0.6609456660000887,12,classical Gaussian,32,1.0
