best_max_error,median_max_error,q1,q3,success_rate,median_nfev,median_wall_s,m,parameters,residual_equations
0.00011206425974041867,0.0008581279121450125,0.0002968308976530887,0.0009724722169420219,0.0,48.0,0.01932218299998567,3,6,12
0.00010630890879403943,0.0004419242970861159,0.00011612357010848395,0.0006307591970795834,0.0,57.0,0.027757931999985885,4,8,12
3.521736778189233e-05,8.954289524276682e-05,7.974263883886445e-05,0.000479292301182932,0.0,60.0,0.03446695100001307,5,10,12
5.489237564793026e-05,8.92303299855346e-05,8.133248140307359e-05,9.856907579364194e-05,0.0,113.0,0.08718366099992636,6,12,12
8.43769498715119e-15,2.7362800183783342e-05,1.7222345455314425e-05,3.090809815911588e-05,0.13333333333333333,131.0,0.10457422599984056,7,14,12
5.551115123125783e-16,2.3314683517128287e-15,1.1657341758564144e-15,7.494005416219807e-15,1.0,45.0,0.04065206199993554,8,16,12
4.996003610813204e-16,1.4432899320127035e-15,1.1102230246251565e-15,2.248201624865942e-15,1.0,53.0,0.04525988200020947,9,18,12
3.885780586188048e-16,3.6637359812630166e-15,2.3592239273284576e-15,6.827871601444713e-15,1.0,27.0,0.02827950599998985,10,20,12
5.551115123125783e-16,1.942890293094024e-15,6.938893903907228e-16,2.0650148258027912e-14,1.0,22.0,0.017730251999864777,11,22,12
1.609823385706477e-15,1.1157741397482823e-14,6.827871601444713e-15,1.2759238110504612e-13,1.0,1.0,0.0020418219999100984,12,24,12
