start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,3.9087961331509e-32,4.163336342344337e-14,1.3270553657828226e-14,12,0.012095545999954993,True,True,1.3877787807814457e-16
2,4.082147930758754e-31,1.199040866595169e-14,6.05064603699718e-15,68,0.03923591099987789,True,True,6.661338147750939e-16
3,2.7317531860708392e-31,3.6637359812630166e-15,1.5041184784509649e-15,51,0.02736415799995484,True,True,5.689893001203927e-16
4,4.0772268412084715e-31,2.6645352591003757e-14,1.4064741620580723e-14,36,0.028264540999998644,True,True,5.134781488891349e-16
5,2.033833272826617e-32,3.552713678800501e-14,1.3175303339417728e-14,50,0.024617287999944892,True,True,1.1796119636642288e-16
6,2.6230692306409867e-29,3.952393967665557e-14,1.2658445830036144e-14,66,0.03527759000007791,True,True,5.592748486549226e-15
7,3.212482180288771e-31,1.2212453270876722e-14,5.125532666734755e-15,72,0.036553562000108286,True,True,4.891920202254596e-16
8,6.962317176283341e-30,2.6645352591003757e-13,1.1744937509382526e-13,35,0.014941087000124753,True,True,2.4364191220094256e-15
9,1.741203358144215e-31,2.375877272697835e-14,1.0253852352411095e-14,24,0.018923801999790157,True,True,5.551115123125783e-16
10,1.6366207836134917e-30,7.249756350802272e-14,3.026724609552489e-14,94,0.04976712400002725,True,True,9.992007221626409e-16
11,1.2728789121789427e-28,5.3290705182007514e-14,1.956253524015146e-14,80,0.038370051000129024,True,True,1.226796442210798e-14
12,2.3688377017410483e-31,5.240252676230739e-14,2.279312474949972e-14,14,0.011327237000159585,True,True,5.551115123125783e-16
13,2.0862497414241335e-31,4.3298697960381105e-15,2.0243069557571453e-15,56,0.03269876299987118,True,True,4.440892098500626e-16
14,2.5263858182805574e-30,8.537615059367454e-14,3.9806326939401127e-14,70,0.04591311599983783,True,True,1.3322676295501878e-15
15,1.9341459916226472e-30,1.3766765505351941e-14,6.1727528830353895e-15,117,0.07214904099987507,True,True,1.6653345369377348e-15
16,1.567855557217154e-31,7.438494264988549e-15,3.0067466239113274e-15,62,0.033251129000063884,True,True,2.7755575615628914e-16
17,4.411481951248971e-31,1.0869083411080283e-13,4.72811055621018e-14,13,0.011064682000096582,True,True,5.134781488891349e-16
18,3.2401019811178386e-29,4.907185768843192e-14,1.7575825399699296e-14,59,0.028792242000008628,True,True,6.328271240363392e-15
19,2.8182704871769532e-30,3.7425618160114027e-13,1.5340480095590994e-13,23,0.018948589000046923,True,True,1.2455314557513475e-15
20,3.1339987130387475e-31,5.218048215738236e-15,1.709166621382058e-15,62,0.03319651399988288,True,True,6.245004513516506e-16
