start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,2.5233703340534707e-06,0.8503353823965135,0.27304246644352714,58,0.029515553000010186,True,True,0.0013779663309246388
2,4.7536088488356145e-06,0.9829810087277716,0.3677543156884609,71,0.033388049000222964,True,True,0.0028128733432959308
3,2.5735042152909212e-06,0.8583156790901396,0.2770678795940508,102,0.05282510999995793,True,True,0.0014135737392545582
4,4.753608848835598e-06,0.9829810089521205,0.3677543161148945,105,0.04503058199998122,True,True,0.0028128733487665647
5,2.523370334053471e-06,0.8503353842980925,0.27304246734856996,113,0.05566329299995232,True,True,0.0013779663303336437
6,2.5233703340534694e-06,0.850335383314969,0.27304246687924383,101,0.04778347299975394,True,True,0.001377966330738564
7,3.112520601521725e-06,0.912170586189431,0.3068403267633248,120,0.05463751399997818,True,True,0.0019029391401878823
8,3.1125206015217278e-06,0.9121705874270032,0.30684032757960156,119,0.0578909210000802,True,True,0.0019029391520420814
9,2.5207516716420978e-06,0.8520852551415623,0.27414297502472323,55,0.025131861999852845,True,True,0.0013747056614457917
10,9.808442250328497e-05,0.9990234083862195,0.5820750959325608,52,0.024290129000064553,True,True,0.012975872054533467
11,2.5233703340534685e-06,0.8503353867112715,0.2730424684957484,58,0.026784997000277144,True,True,0.0013779663297212993
12,3.1125206015217295e-06,0.9121705856279866,0.306840326408418,99,0.055955040000071676,True,True,0.0019029391339880535
13,2.5233703340534685e-06,0.8503353843595666,0.2730424673783625,62,0.0313977519999753,True,True,0.0013779663303099766
14,2.573504215290921e-06,0.8583156771360956,0.27706787863407856,75,0.0328632270000071,True,True,0.0014135737238476606
15,4.753608848835639e-06,0.9829810090178103,0.36775431628233646,105,0.051602998999896954,True,True,0.002812873348816677
16,2.523370334053469e-06,0.8503353839879821,0.27304246720075187,47,0.023861450999902445,True,True,0.001377966330473447
17,2.447440656932468e-06,0.8396619802913187,0.26808035794234447,46,0.0219325430000481,True,True,0.0013775865651982186
18,5.143408201032001e-05,0.9989811697935763,0.5188886571759619,97,0.040808332000096925,True,True,0.006968418350311612
19,3.1125206015217265e-06,0.9121705895500087,0.30684032898615227,93,0.05109580399994229,True,True,0.001902939172042074
20,3.1718547181315043e-06,0.9165239705217549,0.30969151693388214,95,0.05162009799983025,True,True,0.0019499220700411749
