best_max_error,median_max_error,q1,q3,success_rate,median_nfev,median_wall_s,n_max,nodes,mu_min,residual_equations
3.034372753063508e-11,1.0890571777721902e-10,6.011402486905126e-11,2.4792082276015037e-10,1.0,6000.0,1.509940995000079,30,24,0.0011494252873562871,23
2.0392243449407488e-11,3.8380348899025307e-10,1.141433614293419e-10,1.280506728429387e-09,1.0,6000.0,1.7355667664999146,60,54,0.0002824858757061177,53
1.1467715665958167e-10,3.8511216438053e-10,2.0846782633476835e-10,5.876881759014907e-10,1.0,6000.0,1.8509858164999287,120,114,7.002801120448154e-05,113
2.481839178614109e-10,1.0872222011570898e-09,3.5171346390860947e-10,5.145752185464758e-09,0.8,6000.0,2.1768948975000058,240,234,1.7433751743345383e-05,233
6.389555551322701e-11,8.717730981544491e-10,4.5202727672055687e-10,0.00010001825795685759,0.7,6000.0,2.720087044500019,480,474,4.349338900477839e-06,473
