start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,1.619715840662579e-31,2.475797344914099e-14,1.0660506305962235e-14,16,0.01262700200004474,True,True,4.440892098500626e-16
2,2.972976264253646e-32,3.1086244689504383e-15,1.3059339535815036e-15,195,0.11290074199996525,True,True,2.220446049250313e-16
3,2.4150696006853012e-32,2.2870594307278225e-14,9.575457830157412e-15,73,0.05521901799988882,True,True,1.3877787807814457e-16
4,1.8842107094810722e-30,1.758593271006248e-13,6.969073172193955e-14,90,0.056262923000076626,True,True,9.08995101411847e-16
5,3.746875662458977e-28,2.4868995751603507e-12,9.180482140798157e-13,27,0.020118954000054146,True,True,1.8605776641589244e-14
6,7.454661324221296e-32,6.23945339839338e-14,2.571986418930924e-14,86,0.05163463999997475,True,True,2.220446049250313e-16
7,9.120369145431125e-32,1.7319479184152442e-14,7.622927142142928e-15,26,0.02397315799998978,True,True,3.3306690738754696e-16
8,1.5902599388164253e-30,1.0591527654923993e-13,4.039870945748366e-14,70,0.053759363000153826,True,True,1.231653667943533e-15
9,6.403734109755646e-32,4.54081217071689e-14,1.9811861225946108e-14,61,0.046423038000057204,True,True,1.942890293094024e-16
10,1.4369865956457578e-31,4.773959005888173e-15,2.2863341921398446e-15,63,0.056373136000274826,True,True,4.579669976578771e-16
11,1.1392197706502625e-31,1.7763568394002505e-14,7.98743549017764e-15,56,0.045576199999914024,True,True,3.608224830031759e-16
12,4.1172583013257245e-32,3.774758283725532e-15,1.8007903330069127e-15,51,0.03732273700006772,True,True,2.0816681711721685e-16
13,1.6438136511785885e-32,7.105427357601002e-15,2.8717907637825813e-15,140,0.08900145700022222,True,True,1.1102230246251565e-16
14,4.878724733878789e-32,2.0095036745715333e-14,9.67117170550618e-15,60,0.04736878899961994,True,True,2.220446049250313e-16
15,1.9218440626162211e-28,1.7208456881689926e-13,6.098328851536312e-14,128,0.06979324000008091,True,True,1.3499618090051513e-14
16,5.373572590744448e-32,2.6423307986078726e-14,1.060776758323114e-14,55,0.04547553199995491,True,True,2.185751579730777e-16
17,1.9620064537611473e-32,4.4297898682543746e-14,1.4145415361296959e-14,132,0.09251715600021271,True,True,1.1102230246251565e-16
18,4.0493813101992155e-29,1.1191048088221578e-13,5.6159499912622395e-14,193,0.1346822250002333,True,True,6.050715484207103e-15
19,6.071320834793676e-30,5.595524044110789e-14,2.148042255877125e-14,197,0.13055976099985855,True,True,2.220446049250313e-15
20,6.585857117070918e-30,9.880984919163893e-15,4.669660480102711e-15,786,0.42109227899982216,True,True,3.219646771412954e-15
