best_max_error,median_max_error,q1,q3,success_rate,median_nfev,median_wall_s,mode
4.440892098500626e-16,8.049116928532385e-15,2.220446049250313e-15,1.582067810090848e-14,0.85,358.5,0.2466837529999566,fd
3.3306690738754696e-16,8.049116928532385e-15,3.3861802251067274e-15,1.4488410471358293e-14,0.85,347.5,0.0958148560000609,analytic
1.0436096431476471e-14,1.11743947428522e-13,5.395683899678261e-14,1.2334300247829333e-12,0.85,194.0,0.12476577399991129,varpro
5.551115123125783e-16,2.1094237467877974e-15,1.0824674490095276e-15,5.687117443642364e-14,0.85,196.0,0.13494291500001054,hybrid
