t,right_dense,graininess,alpha_max
0.0,True,0.0,inf
0.1,True,0.0,inf
0.2,True,0.0,inf
0.30000000000000004,True,0.0,inf
0.4,True,0.0,inf
0.5,True,0.0,inf
0.6000000000000001,True,0.0,inf
0.7000000000000001,True,0.0,inf
0.8,True,0.0,inf
0.9,True,0.0,inf
1.0,False,1.0,inf
2.0,True,0.0,1.0
2.1,True,0.0,0.9090909090909091
2.2,True,0.0,0.8333333333333333
2.3,True,0.0,0.7692307692307694
2.4,True,0.0,0.7142857142857143
2.5,True,0.0,0.6666666666666666
2.6,True,0.0,0.625
2.7,True,0.0,0.588235294117647
2.8,True,0.0,0.5555555555555556
2.9,True,0.0,0.5263157894736842
3.0,False,1.0,0.5
4.0,True,0.0,0.3333333333333333
4.1,True,0.0,0.32258064516129037
4.2,True,0.0,0.3125
4.3,True,0.0,0.30303030303030304
4.4,True,0.0,0.2941176470588235
4.5,True,0.0,0.2857142857142857
4.6,True,0.0,0.2777777777777778
4.7,True,0.0,0.27027027027027023
4.8,True,0.0,0.2631578947368421
4.9,True,0.0,0.2564102564102564
5.0,False,0.0,0.25
