start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,8.62463258435429e-12,6.992963541563313e-09,2.8661200179550446e-09,6000,2.291388296999912,True,False,1.6750196085713043e-06
2,1.2346223088731634e-11,5.669600011692921e-09,2.743643323747546e-09,5081,2.2279115360001924,True,True,1.7803795673287937e-06
3,7.607767996584997e-15,1.5056955682268836e-10,7.197936068443659e-11,6000,2.131622163999964,True,False,4.3854240627805297e-08
4,3.7353027207120624e-10,5.1239736231778465e-08,2.0656008311876025e-08,6000,2.861408279999978,True,False,1.0310842027738687e-05
5,1.738433044379016e-08,3.833148921605911e-07,1.5355692834046305e-07,6000,2.6641273499999443,True,False,6.847559371458978e-05
6,1.5769320597175452e-11,9.588746019417727e-09,3.8976241447919e-09,4490,1.9238151249999191,True,True,2.3301993327118353e-06
7,6.150206304106473e-12,6.731568080731165e-09,2.647377837794383e-09,3379,1.268334565000032,True,True,1.7417281279463737e-06
8,3.2061141841539946e-12,3.2984510678346624e-09,1.4456594615233931e-09,5045,1.9772758760000215,True,True,8.904366575190892e-07
9,8.787318661490834e-10,9.195787242788356e-08,3.1810814962281725e-08,6000,2.6063428109998767,True,False,2.4161420438317815e-05
10,6.454947041775438e-11,2.303757329347178e-08,1.0213920409146448e-08,6000,2.4803931349999857,True,False,4.352259628082056e-06
11,5.197090070753438e-11,1.8872871820896364e-08,7.391541071456984e-09,6000,2.505866056000059,True,False,4.676017441807012e-06
12,6.440433269973735e-11,2.7693109583282194e-08,9.572454711805448e-09,2111,0.8227662649999274,True,True,4.847489765646973e-06
13,4.005459560974267e-12,5.532715618983275e-09,2.1152957567989418e-09,261,0.09702518700009932,True,True,1.3853702702237847e-06
14,5.125898307170853e-11,1.1925220144703985e-08,6.80908365799278e-09,4481,1.8531475360000513,True,True,4.138690939126111e-06
15,3.80187672762421e-10,4.207448089932342e-08,1.680451620586767e-08,5205,2.1843502470001113,True,True,1.166696475779494e-05
