start,cost,max_error,rmse,nfev,wall_s,admissible,converged,res_inf
1,4.745692183722056e-12,5.7290699961853875e-09,2.3102469287076744e-09,6000,2.526938552000047,True,False,1.4679688269958469e-06
2,7.205295336689053e-15,2.3985102792778434e-10,7.792945292532147e-11,3492,1.3703595510000923,True,True,6.466064794707904e-08
3,2.2274840745632087e-12,3.2125127003013176e-09,1.4171088142544721e-09,3118,1.2816440940000575,True,True,7.941377053177767e-07
4,3.565640047087757e-12,4.524732033495127e-09,1.8269327686422616e-09,2516,0.9225558129999172,True,True,1.0541891951043603e-06
5,1.5649509235974657e-10,3.5923946928306805e-08,1.3677971091234434e-08,6000,2.7231490730000587,True,False,6.527818814328068e-06
6,1.7826213618118567e-11,1.3105001528401772e-08,4.815328762773823e-09,6000,1.9761344190001182,True,False,2.187106132311989e-06
7,7.845952033894592e-11,2.595191617160708e-08,9.95487717302229e-09,6000,2.299876465000125,True,False,4.470112955512473e-06
8,2.013992554367942e-12,3.729394570939348e-09,1.4986076016322516e-09,6000,1.8578091769998082,True,False,9.494245282182234e-07
9,9.925174125225998e-12,1.3228444784019189e-08,5.327197937008332e-09,6000,2.515081137999914,True,False,2.53419316209591e-06
10,7.610387741676958e-12,6.85627543628442e-09,2.7750899496303576e-09,880,0.3553788120000263,True,True,1.6951277130305975e-06
11,1.9854584215412507e-13,1.5897130278830218e-09,8.908065752898865e-10,6000,2.767877075000115,True,False,2.641815766146749e-07
12,1.4379730692876134e-11,1.368664281908849e-08,4.629386592736693e-09,1800,0.6533676819999528,True,True,2.4422761750186872e-06
13,3.57204000331973e-10,7.570404592094349e-08,2.4323189469239868e-08,994,0.4648954639999374,True,True,1.3818497799467089e-05
14,1.5074050799637754e-15,9.959799651682033e-11,3.573460086308238e-11,5033,1.776944899,True,True,2.467180265641744e-08
15,5.6444523057255366e-12,7.1473013063538815e-09,2.6138508760559303e-09,3973,1.307995129000119,True,True,1.7441715710608818e-06
