t,graininess,exact,ts_rbfnn,abs_error,certificate
0.875,0.01388888888888884,0.5333333333333333,0.5333333333333333,0.0,0.0
0.8888888888888888,0.011111111111111183,0.5294117647058824,0.5294117647086747,2.7923219292347312e-12,2.7923227002229328e-12
0.9,0.009090909090909038,0.5263157894736842,0.5263157894665363,7.147837877141683e-12,1.2761986700611897e-11
0.9090909090909091,0.007575757575757569,0.5238095238095238,0.5238095238398676,3.034372753063508e-11,5.041771625954778e-11
0.9166666666666666,0.0064102564102564985,0.5217391304347826,0.5217391304086183,2.6164292954433677e-11,1.0745028628363815e-10
0.9230769230769231,0.005494505494505475,0.52,0.5199999999948554,5.144662473810513e-12,1.2967340227854898e-10
0.9285714285714286,0.004761904761904745,0.5185185185185185,0.5185185185405053,2.19868567796766e-11,1.5820058005651635e-10
0.9333333333333333,0.004166666666666652,0.5172413793103449,0.5172413793286034,1.82585058183804e-11,1.633273683591727e-10
0.9375,0.003676470588235281,0.5161290322580645,0.5161290322579354,1.291189377639057e-13,1.8299766005146602e-10
0.9411764705882353,0.0032679738562091387,0.5151515151515151,0.5151515151395176,1.1997514093309292e-11,1.9621211767375806e-10
0.9444444444444444,0.0029239766081872176,0.5142857142857143,0.5142857142748617,1.085265211031583e-11,1.9859918852707327e-10
0.9473684210526316,0.002631578947368318,0.5135135135135135,0.513513513511959,1.5545342790801442e-12,2.0902607381656003e-10
0.95,0.0023809523809523725,0.5128205128205129,0.5128205128286244,8.111511462516319e-12,2.1978812924251154e-10
0.9523809523809523,0.0021645021645022577,0.5121951219512195,0.5121951219640942,1.2874701305065628e-11,2.256176445383483e-10
0.9545454545454546,0.0019762845849802257,0.5116279069767442,0.5116279069882446,1.1500356222882147e-11,2.2794015556731922e-10
0.9565217391304348,0.0018115942028985588,0.5111111111111111,0.5111111111170155,5.9043880895615075e-12,2.3441391457942533e-10
0.9583333333333334,0.0016666666666665941,0.5106382978723404,0.5106382978717565,5.838662886503698e-13,2.4174057452511304e-10
0.96,0.0015384615384615996,0.5102040816326531,0.5102040816278023,4.850786439192234e-12,2.468142566560989e-10
0.9615384615384616,0.0014245014245014564,0.5098039215686274,0.5098039215635011,5.126343793904198e-12,2.478568787775966e-10
0.962962962962963,0.001322751322751281,0.5094339622641509,0.5094339622625971,1.553868145265369e-12,2.521281027958813e-10
0.9642857142857143,0.0012315270935960854,0.509090909090909,0.5090909090946063,3.697264716606696e-12,2.58044088034199e-10
0.9655172413793104,0.0011494252873562871,0.5087719298245613,0.508771929831186,6.624700787938309e-12,2.6161170776077825e-10
0.9666666666666667,0.033333333333333326,0.5084745762711864,0.5084745762729471,1.7607026947530358e-12,2.6706931863209753e-10
1.0,0.0,0.5,0.49999999999987677,1.2323475573339238e-13,2.8669965537894076e-10
