best_max_error,median_max_error,q1,q3,success_rate,median_nfev,median_wall_s,example,basis,threshold,m
5.551115123125784e-16,2.109423746787798e-15,1.0824674490095274e-15,5.687117443642364e-14,0.85,196.0,0.1245784230000026,quantum,time-scale Gaussian,1e-08,5
2.220446049250313e-16,0.7652542123118491,0.7626489061877193,0.9990184459399614,0.15,800.0,0.27073783500000553,quantum,"classical Gaussian, same width box",1e-08,5
6.661338147750939e-16,0.9990136184294912,0.7559561853727076,0.9990234375,0.15,558.5,0.21860937799999644,quantum,"classical Gaussian, generous width box",1e-08,5
2.4330426562357843e-11,9.601691663974064e-11,6.506567507003069e-11,1.5442760958883636e-10,0.55,6000.0,1.6443679679999832,accumulation,time-scale Gaussian,1e-10,6
4.675959619504511e-11,2.2976098801308353e-10,1.366763369148316e-10,4.5699655171205217e-10,0.2,6000.0,1.1384094739999995,accumulation,"classical Gaussian, same width box",1e-10,6
1.5019985255548818e-11,1.1243839193042504e-10,4.391323416008674e-11,9.234679992919938e-08,0.4,6000.0,1.214114368500077,accumulation,"classical Gaussian, generous width box",1e-10,6
6.938893903907228e-16,2.9795610423377644e-13,4.326400349086157e-15,3.560137026833998e-06,0.55,902.0,0.22198431599997545,logistic,time-scale Gaussian,1e-07,6
2.275957200481571e-15,4.027470222739416e-07,1.1901590823981678e-13,1.332911093859801e-06,0.45,449.0,0.08464417799999066,logistic,"classical Gaussian, same width box",1e-07,6
5.551115123125783e-17,1.0147160889317774e-12,2.1726370702523928e-13,3.029343167669507e-07,0.6,337.0,0.06151895299990425,logistic,"classical Gaussian, generous width box",1e-07,6
