$t$,$\mu(t)$,exact $1/(t+1)$,RBFNN $y_a(t)$,error $e(t)$,certificate $B(t)$
0.875,0.01388888888888884,0.5333333333333333,0.5333333333333333,0.0,0.0
0.8888888888888888,0.011111111111111183,0.5294117647058824,0.529411764706785,9.026113190202523e-13,9.026373398723889e-13
0.9,0.009090909090909038,0.5263157894736842,0.5263157894679301,5.754063892027261e-12,7.568911508576694e-12
0.9090909090909091,0.007575757575757569,0.5238095238095238,0.5238095238225009,1.2977063867936067e-11,2.6383071118439128e-11
0.9166666666666666,0.0064102564102564985,0.5217391304347826,0.5217391304242452,1.0537348771322286e-11,5.019489453660569e-11
0.9230769230769231,0.005494505494505475,0.52,0.5199999999982519,1.7481571745747715e-12,5.955756685257503e-11
0.9285714285714286,0.004761904761904745,0.5185185185185185,0.5185185185227466,4.228062344679984e-12,6.6178165286287e-11
0.9333333333333333,0.004166666666666652,0.5172413793103449,0.5172413793128458,2.5008883852706276e-12,6.851466825837327e-11
0.9375,0.003676470588235281,0.5161290322580645,0.5161290322573263,7.381872890732666e-13,7.23139878787892e-11
0.9411764705882353,0.0032679738562091387,0.5151515151515151,0.5151515151494508,2.064348691988016e-12,7.41747381986476e-11
0.9444444444444444,0.0029239766081872176,0.5142857142857143,0.5142857142842624,1.4519496716047797e-12,7.526512228143611e-11
0.9473684210526316,0.002631578947368318,0.5135135135135135,0.5135135135134082,1.0524914273446484e-13,7.704748678665126e-11
0.95,0.0023809523809523725,0.5128205128205129,0.5128205128214538,9.409140133698202e-13,7.849898962135116e-11
0.9523809523809523,0.0021645021645022577,0.5121951219512195,0.5121951219524675,1.2480017019811385e-12,7.918207930951284e-11
0.9545454545454546,0.0019762845849802257,0.5116279069767442,0.5116279069776285,8.842926391139372e-13,7.988574769600892e-11
0.9565217391304348,0.0018115942028985588,0.5111111111111111,0.5111111111112958,1.8474111129762605e-13,8.08992935606451e-11
0.9583333333333334,0.0016666666666665941,0.5106382978723404,0.5106382978718692,4.711786516509164e-13,8.184795965774538e-11
0.96,0.0015384615384615996,0.5102040816326531,0.5102040816318483,8.04800670550776e-13,8.245525246846463e-11
0.9615384615384616,0.0014245014245014564,0.5098039215686274,0.5098039215679175,7.098766019453251e-13,8.280266775245506e-11
0.962962962962963,0.001322751322751281,0.5094339622641509,0.5094339622638832,2.6778579353958776e-13,8.347961928475112e-11
0.9642857142857143,0.0012315270935960854,0.509090909090909,0.5090909090911794,2.703393064962256e-13,8.423819087564423e-11
0.9655172413793104,0.0011494252873562871,0.5087719298245613,0.5087719298250805,5.191402863147232e-13,8.469480754990614e-11
0.9666666666666667,0.033333333333333326,0.5084745762711864,0.5084745762711865,1.1102230246251565e-16,8.540793063376529e-11
1.0,0.0,0.5,0.500000000000002,1.9984014443252818e-15,9.110373775591592e-11
