Example,$\mathbb{T}$,$N$,$m$,$\|e\|_\infty$,RMSE,$\|B\|_\infty$,$\theta$
1: $y^{\Delta}=-y/(2t)$,$2^{\mathbb{N}_0}$,11,5,6.661338147750939e-16,2.482534153247273e-16,2.2393111670515637e-14,33.61653645833338
"2: $y^{\Delta}=-y\,y^{\sigma}$",harmonic $\{1-1/n\}$,24,8,1.2977063867936067e-11,3.832554818546095e-12,9.110373775591592e-11,7.020365984405491
