$m$,params $2m$,$E(p)$,$\|e\|_\infty$,RMSE,$\|B\|_\infty$,$\theta$
2,4,0.000821346653820852,0.9990234374453781,0.6700650094310606,13.09034870743806,13.103144747946695
3,6,5.107024636623152e-05,0.9989823212348734,0.5210678722535657,5.2168751745412205,5.22218968609222
4,8,2.4392205148409135e-06,0.8381702427642042,0.2673962888558033,1.6374903986315197,1.953648930832041
5,10,1.1899572843757928e-32,6.661338147750939e-16,2.482534153247273e-16,2.2393111670515637e-14,33.61653645833338
6,12,5.261230174142338e-23,3.63489260912786e-09,1.1639448696049013e-09,7.224208922913811e-09,1.9874614465287204
